,COUNTY,STATE,Crime_Count,Crime_rate, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013,Age
0,Autauga,Alabama,3644,6636.0722610722605,"25,810","24,205","1,605",6.2,75.50341086
1,Baldwin,Alabama,10523,5443.25012155885,"85,280","79,626","5,654",6.6,77.87371963
2,Barbour,Alabama,1567,5832.2167634360585,"9,099","8,168",931,10.2,75.44977982
3,Bibb,Alabama,626,2781.851308714394,"8,705","8,016",689,7.9,73.99439968
4,Blount,Alabama,2885,4976.883797957494,"24,887","23,325","1,562",6.3,76.48091949
5,Bullock,Alabama,353,3413.926499032882,"4,778","4,331",447,9.4,73.87655304
6,Butler,Alabama,1178,5860.988108861136,"9,147","8,206",941,10.3,73.6754061
7,Calhoun,Alabama,10002,8556.54316340585,"48,405","44,163","4,242",8.8,74.11418529
8,Chambers,Alabama,2930,8608.785074188336,"15,275","14,058","1,217",8.0,74.05602136
9,Cherokee,Alabama,2147,8249.125907711223,"11,403","10,649",754,6.6,75.19248621
10,Chilton,Alabama,3077,7017.4238277686545,"19,359","18,090","1,269",6.6,74.31376537
11,Choctaw,Alabama,190,1472.6399007905752,"4,703","4,270",433,9.2,75.18600584
12,Clarke,Alabama,945,3838.654642944187,"8,285","7,145","1,140",13.8,75.46967971
13,Clay,Alabama,328,2468.57830962595,"5,393","4,943",450,8.3,75.22362544
14,Cleburne,Alabama,431,2915.1166723030096,"5,830","5,383",447,7.7,74.41329749
15,Coffee,Alabama,2650,5133.868030531985,"20,516","19,105","1,411",6.9,76.69518076
16,Colbert,Alabama,4092,7519.5707302730725,"23,896","21,937","1,959",8.2,75.18716685
17,Conecuh,Alabama,813,6298.419584753641,"4,695","4,191",504,10.7,74.1608906
18,Coosa,Alabama,451,5036.855036855037,"4,452","4,044",408,9.2,75.20101004
19,Covington,Alabama,2499,6668.267691322448,"16,066","14,768","1,298",8.1,75.35064657
20,Crenshaw,Alabama,614,4506.091296051666,"6,311","5,828",483,7.7,74.29239836
21,Cullman,Alabama,3535,4396.274048924872,"35,783","33,402","2,381",6.7,75.30500169
22,Dale,Alabama,3185,6407.419328880664,"20,750","19,220","1,530",7.4,76.18398565
23,Dallas,Alabama,4925,11574.074074074077,"16,293","14,301","1,992",12.2,72.38933046
24,De Kalb,Alabama,3876,5455.08282549646,,,,,
25,Elmore,Alabama,5013,6190.952539735467,"36,930","34,658","2,272",6.2,75.96957001
26,Escambia,Alabama,1774,4682.344867632697,"14,292","13,065","1,227",8.6,74.22909424
27,Etowah,Alabama,9485,9754.918597595466,"43,862","40,538","3,324",7.6,73.76693671
28,Fayette,Alabama,419,2479.143245961777,"6,406","5,875",531,8.3,74.18010131
29,Franklin,Alabama,1623,5109.236290373355,"13,678","12,578","1,100",8.0,73.4557339
30,Geneva,Alabama,1528,5666.815012609405,"11,044","10,276",768,7.0,75.61141918
31,Greene,Alabama,503,6131.155533885911,"2,997","2,614",383,12.8,74.08969844
32,Hale,Alabama,451,3506.453117711087,"6,208","5,486",722,11.6,74.11867546
33,Henry,Alabama,692,4129.863929338744,"6,954","6,421",533,7.7,76.03856206
34,Houston,Alabama,7453,7171.862971516552,"45,711","42,553","3,158",6.9,76.56580255
35,Jackson,Alabama,2923,5681.1335056655835,"23,687","21,822","1,865",7.9,74.30097405
36,Jefferson,Alabama,69431,10874.045813482182,"315,405","294,426","20,979",6.7,75.17860708
37,Lamar,Alabama,265,1869.6204317764925,"5,802","5,394",408,7.0,74.81018764
38,Lauderdale,Alabama,5504,5952.71571023772,"43,150","40,083","3,067",7.1,76.48111257
39,Lawrence,Alabama,1379,4171.961033460398,"14,282","13,093","1,189",8.3,74.49300040000001
40,Lee,Alabama,8104,8903.928979520084,"70,523","66,379","4,144",5.9,76.66401228
41,Limestone,Alabama,3782,4241.3367724571035,"39,435","36,969","2,466",6.3,77.47898494
