,COUNTY,STATE,Crime_Count,Crime_rate, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010,Age
0,Autauga,Alabama,3329,6100.309688295982,"25,713","23,431","2,282",8.9,75.74020163
1,Baldwin,Alabama,9099,4992.181713439223,"83,459","75,120","8,339",10.0,77.79579474
2,Barbour,Alabama,960,3532.268746780484,"10,221","8,959","1,262",12.3,75.33833845
3,Bibb,Alabama,934,4075.932795112372,"8,934","7,914","1,020",11.4,74.13410346
4,Blount,Alabama,658,1147.9013293325427,"24,906","22,460","2,446",9.8,76.40800546
5,Bullock,Alabama,260,2382.2613157412493,"4,941","4,356",585,11.8,73.61464273
6,Butler,Alabama,1220,5824.223039098678,"9,261","7,998","1,263",13.6,73.63399115
7,Calhoun,Alabama,10334,8715.379684917181,"51,559","45,699","5,860",11.4,74.11151762
8,Chambers,Alabama,2894,15235.588312713871,"14,754","12,554","2,200",14.9,74.09009517
9,Cherokee,Alabama,1542,5933.279464388779,"11,464","10,245","1,219",10.6,75.25511248
10,Chilton,Alabama,2808,6434.0214925646715,"19,462","17,464","1,998",10.3,74.49877617
11,Choctaw,Alabama,164,1202.5223639829887,"4,860","4,216",644,13.3,75.1886002
12,Clarke,Alabama,759,2938.102427128092,"9,108","7,300","1,808",19.9,75.29484352
13,Clay,Alabama,208,1492.9658340511053,"5,851","5,005",846,14.5,75.25078258
14,Cleburne,Alabama,616,4114.346780657227,"6,033","5,429",604,10.0,74.52561557
15,Coffee,Alabama,2842,5689.9175142147815,"21,088","19,271","1,817",8.6,76.50062492
16,Colbert,Alabama,2833,5205.041522745646,"24,228","21,453","2,775",11.5,75.25900854
17,Conecuh,Alabama,752,5947.014630288652,"4,991","4,131",860,17.2,74.07535219
18,Coosa,Alabama,6,59.61844197138314,"4,654","3,937",717,15.4,75.21058582
19,Covington,Alabama,1719,4551.833708460214,"16,417","14,721","1,696",10.3,75.41793707
20,Crenshaw,Alabama,344,3248.3474976392827,"6,285","5,646",639,10.2,74.46553981
21,Cullman,Alabama,4234,5265.7761858567765,"35,959","32,202","3,757",10.4,75.4808837
22,Dale,Alabama,2289,4614.54721393436,"22,072","20,124","1,948",8.8,76.32848976
23,Dallas,Alabama,3398,7754.450022820631,"17,808","14,806","3,002",16.9,72.48009704
