STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	1	1	1	1	1	57161	3	1	0	825	220	10	210	0	0	6	3	10	199	1	0	105	3	9	9	8	2	7	0	2	132	3	0	0	0	2	129	14	78	4	34	0	0	0	0	0	123	3	58	7	0	138	0	0	0
9999	1	1	2	1	3	187467	14	0	0	2195	586	26	560	1	1	16	8	27	529	3	0	278	7	25	23	21	5	18	0	5	350	7	1	1	0	5	343	37	207	10	89	0	0	0	0	0	327	9	155	19	0	367	0	0	0
9999	1	1	3	1	5	27228	6	0	0	424	113	5	108	0	0	3	2	5	102	1	0	54	1	5	4	4	1	4	0	1	68	1	0	0	0	1	66	7	40	2	17	0	0	0	0	0	63	2	30	4	0	71	0	0	0
9999	1	1	4	1	7	22907	5	1	0	241	64	3	62	0	0	2	1	3	58	0	0	31	1	3	3	2	1	2	0	1	39	1	0	0	0	1	38	4	23	1	10	0	0	0	0	0	36	1	17	2	0	40	0	0	0
9999	1	1	5	1	9	57909	6	0	0	254	68	3	65	0	0	2	1	3	61	0	0	32	1	3	3	2	1	2	0	1	41	1	0	0	0	1	40	4	24	1	10	0	0	0	0	0	38	1	18	2	0	43	0	0	0
9999	1	1	6	1	11	10584	2	0	0	90	24	1	23	0	0	1	0	1	22	0	0	11	0	1	1	1	0	1	0	0	14	0	0	0	0	0	14	1	8	0	4	0	0	0	0	0	13	0	6	1	0	15	0	0	0
9999	1	1	7	1	13	20741	4	1	0	240	64	3	61	0	0	2	1	3	58	0	0	30	1	3	3	2	1	2	0	1	38	1	0	0	0	1	38	4	23	1	10	0	0	0	0	0	36	1	17	2	0	40	0	0	0
9999	1	1	8	1	15	122213	8	1	0	1536	410	18	392	1	1	11	6	19	370	2	0	195	5	18	16	14	3	13	0	3	245	5	1	1	0	3	240	26	145	7	62	0	0	0	0	0	229	6	108	14	0	257	0	0	0
9999	1	1	9	1	17	34075	4	0	0	441	118	5	112	0	0	3	2	6	106	1	0	56	1	5	5	4	1	4	0	1	70	1	0	0	0	1	69	7	42	2	18	0	0	0	0	0	66	2	31	4	0	74	0	0	0
9999	1	1	10	1	19	26141	4	1	0	149	40	2	38	0	0	1	1	2	36	0	0	19	0	2	2	1	0	1	0	0	24	0	0	0	0	0	23	2	14	1	6	0	0	0	0	0	22	1	10	1	0	25	0	0	0
