STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012,Crime_rate,Total; Estimate; ,Median income (dollars); Estimate;
Texas,Tarrant,257.43042080000004,56.61952863,2.8865367889999995,1.882022441,78.59914566,"966,259","903,315","62,944",6.5,8061.252340000001,665139,56040
Texas,Taylor,310.2666841,65.7997613,1.7789412269999998,2.0241312280000003,76.58401577,"64,485","60,834","3,651",5.7,7450.479802,49548,43855
Texas,Tom Green,255.58835,69.16509587,1.768568709,1.424712232,77.84043559,"53,790","50,921","2,869",5.3,7329.644575,42516,44651
Texas,Travis,202.5850881,41.63159522,3.076455009,1.882821944,80.47809835,"612,264","578,608","33,656",5.5,9549.86414,414318,57368
Texas,Victoria,264.46218880000004,49.16218714,1.527607076,1.542492182,77.87204709,"45,250","42,723","2,527",5.6,8119.879355,31850,50076
Texas,Walker,277.2468151,59.99490132,5.426008815,2.357435711,77.18624498,"23,153","21,545","1,608",6.9,4917.012748,20414,36382
Texas,Webb,245.6243057,30.82598582,3.331081727,2.636152177,79.60444334,"109,145","102,072","7,073",6.5,9411.263094,68980,36624
Texas,Wichita,315.7952019,79.79253197,2.807239295,1.99465081,75.82283221,"58,468","54,914","3,554",6.1,9422.185368,48702,45363
Texas,Williamson,185.1983044,45.86335248,1.01662649,1.669476081,81.56642035,"237,421","223,585","13,836",5.8,4092.226972,156215,70721
Utah,Cache,188.5606838,30.73082068,0.360011386,1.574523365,82.10675364,"56,972","54,422","2,550",4.5,3446.911371,35537,46016
Utah,Davis,222.7897578,38.80856555,0.400755263,1.621811711,80.83825598,"148,630","141,372","7,258",4.9,4341.442422,96886,68931
Utah,Salt Lake,223.1308955,49.33742474,1.130118439,1.835003865,79.42394937,"556,484","527,250","29,234",5.3,9322.192583,348561,58856
Utah,Utah,231.408241,33.69160699,0.433831938,2.124476651,80.78164689,"238,745","226,892","11,853",5.0,3914.318714,144466,58425
Utah,Washington,172.16245890000005,35.66545342,0.7941669790000001,1.5803098169999998,81.33647629,"57,216","53,281","3,935",6.9,4270.093328,48186,43837
Utah,Weber,238.9136815,58.55286927,0.758588892,1.51597204,79.01020744,"113,321","106,127","7,194",6.3,6521.400582,80232,54045
Vermont,Chittenden,192.7224514,45.04616701,0.7258464809999999,1.505920464,81.32127912,"95,835","92,217","3,618",3.8,6411.624922,63022,63686
Virginia,Albemarle,191.7396375,43.87814403,1.300533123,0.743571895,81.08282591,"52,640","49,887","2,753",5.2,3733.941886,38374,72917
