STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014,Crime_rate,Total; Estimate;,Median income (dollars); Estimate;
South Carolina,Horry,267.42902000000004,66.10613261,3.383017693,2.585889079,77.01526555,"134,210","124,297","9,913",7.4,11433.7844,125157,43001
South Carolina,Lancaster,282.5660173,66.34802423,2.570546106,2.249456045,76.81945879999998,"35,278","32,732","2,546",7.2,7335.217609,28903,44412
South Carolina,Laurens,322.2805544,84.56105137,3.220605927,2.321288014,74.53492948,"29,890","27,773","2,117",7.1,8474.040632,24998,37638
South Carolina,Lexington,251.0689671,60.24725058,2.254441193,1.720439504,78.01608607,"141,521","134,357","7,164",5.1,6008.957859,107408,53980
South Carolina,Oconee,258.77243030000005,66.84992641,1.564518165,1.554812681,77.43110425,"34,185","32,027","2,158",6.3,6355.634968,32113,35159
South Carolina,Orangeburg,307.8478147,60.5455868,10.32130763,2.66219049,74.20090009,"37,853","33,561","4,292",11.3,9651.914637,31350,28680
South Carolina,Pickens,289.5242764,74.84792270000001,1.507389548,1.571475309,76.97545025,"54,861","51,398","3,463",6.3,7755.366195999999,43859,40136
South Carolina,Richland,254.0583704,46.97607832,7.538820557999999,2.503252542,77.35774145,"193,973","182,384","11,589",6.0,9877.754842,146458,50028
South Carolina,Spartanburg,292.165071,82.24058569,2.549381305,2.540440676,75.67727913,"136,899","128,207","8,692",6.3,6836.426001999998,110179,43688
South Carolina,Sumter,308.4085974,68.60719936,7.351400149,2.480941395,75.65182678,"44,406","41,161","3,245",7.3,8875.565528000001,39936,36633
South Carolina,York,243.7857127,69.74049137,3.065120491,1.138242713,77.40214089,"122,649","114,932","7,717",6.3,5287.650658,91868,52565
South Dakota,Minnehaha,224.034057,61.92029693,0.683103263,0.84816383,79.67307629999998,"104,333","101,185","3,148",3.0,5739.044589,71099,54829
South Dakota,Pennington,204.8383377,49.87786647,0.8031330879999999,0.982203302,80.42856545,"53,893","52,048","1,845",3.4,6927.648917,42161,47838
Tennessee,Anderson,277.8479616,70.74895534,1.221955773,1.879420371,76.6805647,"32,927","30,687","2,240",6.8,5177.089658,30183,47821
Tennessee,Blount,239.4329001,65.69061012,1.324306755,2.0042815,77.36520108,"58,590","55,083","3,507",6.0,3851.498908,47871,46819
Tennessee,Bradley,326.7372922,66.90781679999999,1.40311255,1.567810924,76.59491502,"48,961","45,994","2,967",6.1,8403.851765000001,37741,42563
Tennessee,Davidson,286.6812987,57.04231342,5.010310991,1.360433543,76.84021899,"354,598","336,799","17,799",5.0,9763.617832,267952,47993
Tennessee,Greene,351.5933418,77.40125274,1.215669529,1.686855581,75.23263722,"30,031","27,609","2,422",8.1,5062.068158,27296,36694
Tennessee,Hamilton,284.2380025,64.59324908,2.814042967,1.467797033,77.45252691,"163,932","153,784","10,148",6.2,9810.82944,136427,48379
Tennessee,Knox,273.54774419999995,70.78625353,2.066263191,1.7861275719999998,76.83233978,"224,743","212,518","12,225",5.4,8879.173185,177479,46860
Tennessee,Madison,304.6044744,52.49337608,2.928062312,2.660047239,76.53092449,"46,282","43,148","3,134",6.8,9096.688261,38009,42412
Tennessee,Maury,275.1537912,70.91473846,1.664938226,1.609703685,76.37456293,"40,925","38,496","2,429",5.9,5491.233874000001,31472,53990
Tennessee,Montgomery,299.0872077,80.68470726,1.502237185,1.507486745,76.66359562,"76,843","71,736","5,107",6.6,6679.362843999998,65474,50941
Tennessee,Putnam,298.2907794,77.03427486,1.123668125,2.270965988,76.40812459,"31,900","29,709","2,191",6.9,6981.397361,29705,35516
Tennessee,Robertson,379.4956872,70.88453004,2.104291039,1.851109466,75.67566402,"33,334","31,442","1,892",5.7,5244.605696000001,24867,51883
Tennessee,Rutherford,280.6692278,63.33747485,1.30416301,1.7226092,78.02848405,"148,975","141,168","7,807",5.2,5663.995641,103456,52502
Tennessee,Sevier,314.2330391000001,59.92275847,1.4662922319999998,1.379165664,76.67438883,"48,668","45,200","3,468",7.1,6502.159291,35072,39175
Tennessee,Shelby,315.3453823000001,50.14912043,7.595007381,2.005208055,75.75493313,"427,667","395,109","32,558",7.6,12283.00279,347377,43938
Tennessee,Sullivan,304.9420377,70.88005687,1.201371411,2.108214595,76.41682609,"69,534","64,918","4,616",6.6,6965.453086,66956,38251
Tennessee,Sumner,279.0718953,60.4317698,1.181474867,1.47608777,78.00484127,"86,070","81,544","4,526",5.3,3518.191611,62455,58316
Tennessee,Washington,312.5582934,62.91398406,1.5663459240000002,1.842561321,76.48962758,"57,441","53,824","3,617",6.3,5743.908515,52788,42950
Tennessee,Williamson,201.2051977,47.36881803,0.605430198,1.174378673,81.85978328,"103,213","98,538","4,675",4.5,2439.768072,71407,93337
Tennessee,Wilson,273.8094409,60.66154774,1.037997216,1.285343315,77.68256205,"62,232","58,949","3,283",5.3,4347.72105,46768,59685
Texas,Angelina,376.7330333,62.13985412,2.8550578360000003,1.800013887,76.06366816,"37,742","35,767","1,975",5.2,7479.083056,30344,42156
Texas,Bastrop,271.213526,66.66629461,1.828562469,1.5788325559999998,77.47114371,"36,713","34,929","1,784",4.9,4780.020063,25974,53631
Texas,Bell,263.2198285,54.92448209,2.252110157,2.886377689,77.90719337,"134,896","127,044","7,852",5.8,6884.211986,114953,51221
Texas,Bexar,259.2754803,44.73322533,3.856288017,1.849383822,78.64852462,"866,455","825,960","40,495",4.7,10478.11573,625260,50760
Texas,Bowie,368.23478860000006,67.47909628,3.1984491910000004,3.880460011,75.69449303,"39,662","37,170","2,492",6.3,8985.049640000001,32915,40493
Texas,Brazoria,274.6364768,60.58083406,2.113568087,2.045625803,78.10356664,"166,712","158,250","8,462",5.1,3854.102946,114265,74799
Texas,Brazos,250.5212929,50.61994466,2.208935158,1.827144163,79.91857789,"104,349","100,194","4,155",4.0,5957.100742000001,77806,40973
Texas,Cameron,231.0112052,31.21651534,2.68776051,1.028811299,80.14353389,"166,361","152,513","13,848",8.3,7161.306804000002,121009,32093
Texas,Collin,195.3540953,40.89094683,0.921460197,1.310727444,82.00062102,"474,119","452,567","21,552",4.5,3814.089322,312298,86040
Texas,Comal,219.57834900000003,46.88321851,1.418772984,1.361185211,79.82408129,"59,850","57,138","2,712",4.5,5137.661399000001,44382,62389
Texas,Coryell,285.8069035000001,73.91224347,1.41615984,2.381222829,77.87595922,"24,722","23,250","1,472",6.0,3806.192377,22380,47042
Texas,Dallas,264.6138034,47.90436956,5.31137686,1.605170383,78.29106947,"1,250,984","1,183,245","67,739",5.4,7402.262723000002,891554,50076
Texas,Denton,211.46216490000003,61.60233796,1.216212417,1.683019953,80.80049879,"414,162","395,799","18,363",4.4,3830.239052,265729,74196
Texas,Ector,370.0232151,105.8305322,2.139313507,1.6463975080000002,75.06770955,"82,387","79,552","2,835",3.4,9613.570876,50724,58701
Texas,El Paso,216.2724761,40.35811841,2.461735726,1.699476182,79.79294643,"344,510","322,445","22,065",6.4,4794.700757,255736,40170
Texas,Ellis,271.9861232,61.99717757,1.743507809,1.565025973,77.77025166,"79,088","75,200","3,888",4.9,4061.341529,53454,60294
Texas,Fort Bend,203.9614299,31.97821187,1.869108596,2.64619769,81.83748173,"347,068","331,406","15,662",4.5,3723.611979,214215,87973
Texas,Galveston,264.6881339,54.53756885,4.30668662,2.304073387,77.21533532,"157,629","148,793","8,836",5.6,6347.759624,117452,57991
Texas,Grayson,296.9468081,80.71633383,1.540928871,1.769888312,76.47259042,"60,353","57,429","2,924",4.8,4839.130932,46621,52058
Texas,Gregg,317.6470623,75.78416693,3.0446206260000004,2.7221302460000003,75.51338179999998,"61,148","58,184","2,964",4.8,8626.339562000001,46314,50917
Texas,Guadalupe,243.588569,43.37130185,1.222411073,1.316893284,79.70737598,"71,582","68,488","3,094",4.3,4435.771739,50383,61538
Texas,Harris,250.156384,39.88631804,5.782815968,2.051355796,78.7354184,"2,230,152","2,119,161","110,991",5.0,9060.296622,1538072,54178
Texas,Harrison,305.0773549,74.34837228,2.225159019,2.80742687,75.88086108,"32,194","30,425","1,769",5.5,4697.867561,22997,49490
Texas,Hays,210.0460931,43.77278639,1.256840774,1.877753989,80.56480884,"94,045","90,032","4,013",4.3,4275.076604999998,63497,59085
Texas,Henderson,347.7044995,76.58404627,2.878995226,1.720997128,75.33098909,"34,738","32,801","1,937",5.6,5611.082996,30422,41112
Texas,Hidalgo,218.0881236,29.3116149,2.203526934,1.307172432,80.96576431,"332,027","302,957","29,070",8.8,7403.451929999998,226000,34801
Texas,Hunt,336.8405358,68.14589351,2.430553912,1.69690242,75.94558521,"38,573","36,294","2,279",5.9,6569.26585,30698,42038
Texas,Jefferson,329.8080457,67.42630240000001,6.097709672000001,2.456411833,75.90684395,"110,139","101,022","9,117",8.3,8617.20293,94400,40652
