STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	1	3	1	1	1	57161	3	1	0	57	28	2	26	0	0	1	0	4	22	0	0	10	0	0	0	1	0	0	0	0	11	0	0	0	0	0	10	0	9	0	1	0	0	0	0	0	0	1	0	3	0	2	0	0	0
9999	1	3	2	1	3	187467	14	0	0	151	76	6	70	0	1	3	1	11	57	1	0	26	0	1	0	2	0	1	0	0	29	1	0	0	0	1	27	0	24	1	2	0	0	0	0	0	1	2	0	8	0	5	0	0	0
9999	1	3	3	1	5	27228	6	0	0	29	15	1	13	0	0	1	0	2	11	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
9999	1	3	4	1	7	22907	5	1	0	17	8	1	8	0	0	0	0	1	6	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
9999	1	3	5	1	9	57909	6	0	0	17	9	1	8	0	0	0	0	1	7	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
9999	1	3	6	1	11	10584	2	0	0	6	3	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	7	1	13	20741	4	1	0	17	8	1	8	0	0	0	0	1	6	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
9999	1	3	8	1	15	122213	8	1	0	106	53	4	49	0	1	2	1	8	40	1	0	18	0	1	0	2	0	1	0	0	20	1	0	0	0	1	19	0	17	1	2	0	0	0	0	0	1	2	0	6	0	3	0	0	0
9999	1	3	9	1	17	34075	4	0	0	30	15	1	14	0	0	1	0	2	11	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
9999	1	3	10	1	19	26141	4	1	0	10	5	0	5	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
9999	1	3	11	1	21	43975	5	1	0	22	11	1	10	0	0	1	0	2	9	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
9999	1	3	12	1	23	13664	4	0	0	4	2	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	13	1	25	25798	5	0	0	18	9	1	8	0	0	0	0	1	7	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
9999	1	3	14	1	27	13918	3	0	0	7	4	0	3	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	15	1	29	14895	3	0	0	6	3	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	16	1	31	51153	5	1	0	52	26	2	24	0	0	1	0	4	20	0	0	9	0	0	0	1	0	0	0	0	10	0	0	0	0	0	10	0	8	0	1	0	0	0	0	0	0	1	0	3	0	2	0	0	0
9999	1	3	17	1	33	54731	8	0	0	54	27	2	25	0	0	1	0	4	20	0	0	9	0	0	0	1	0	0	0	0	10	0	0	0	0	0	10	0	9	0	1	0	0	0	0	0	0	1	0	3	0	2	0	0	0
9999	1	3	18	1	35	13150	4	0	0	8	4	0	4	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	19	1	37	10756	3	0	0	3	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	3	20	1	39	38211	9	0	0	31	16	1	15	0	0	1	0	2	12	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
9999	1	3	21	1	41	13967	5	0	0	7	3	0	3	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
