STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	2	8	60	1	119	4708708	4642126	5474	5	3	90.8872	0	0	0	0	0	0	0	0	0	0
9999	2	8	61	1	121	4708708	4642126	80627	5	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	62	1	123	4708708	4642126	40592	6	6	99.6705	0	0	0	0	0	0	0	0	0	0
9999	2	8	63	1	125	4708708	4642126	181913	6	7	99.4347	0	0	0	0	0	0	0	0	0	0
9999	2	8	64	1	127	4708708	4642126	69087	9	9	98.7745	0	0	0	0	0	0	0	0	0	0
9999	2	8	65	1	129	4708708	4642126	17182	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	66	1	131	4708708	4642126	12841	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	67	1	133	4708708	4642126	23981	5	5	98.6177	0	0	0	0	0	0	0	0	0	0
9999	2	8	68	1	777	4708708	4642126	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	69	2	13	698473	693296	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	70	2	16	698473	693296	3867	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	71	2	20	698473	693296	283300	3	3	100	0	2	0	0	0	0	0	2	0	0
9999	2	8	72	2	50	698473	693296	6584	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	73	2	60	698473	693296	933	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	74	2	70	698473	693296	2465	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	75	2	90	698473	693296	38034	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	76	2	100	698473	693296	2273	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	77	2	110	698473	693296	31024	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	78	2	122	698473	693296	21379	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	79	2	130	698473	693296	7215	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	80	2	150	698473	693296	6212	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	81	2	164	698473	693296	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	82	2	170	698473	693296	21984	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	83	2	180	698473	693296	3585	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	84	2	185	698473	693296	6581	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	85	2	188	698473	693296	3187	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	86	2	201	698473	693296	1150	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	87	2	220	698473	693296	8896	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	88	2	232	698473	693296	895	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	89	2	240	698473	693296	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	90	2	261	698473	693296	5977	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	91	2	270	698473	693296	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	92	2	280	698473	693296	4742	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	93	2	282	698473	693296	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	94	2	290	698473	693296	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	95	2	777	698473	693296	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	96	2	999	698473	693296	233013	1	1	100	0	1	0	0	0	0	0	1	0	0
9999	2	8	97	4	1	6595778	6553655	65868	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	98	4	3	6595778	6553655	128796	8	8	98.1121	0	0	0	0	0	0	0	0	0	0
9999	2	8	99	4	5	6595778	6553655	121518	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	100	4	7	6595778	6553655	50423	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	101	4	9	6595778	6553655	36377	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	102	4	11	6595778	6553655	7858	2	2	48.2693	0	0	0	0	0	0	0	0	0	0
9999	2	8	103	4	12	6595778	6553655	19905	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	104	4	13	6595778	6553655	4017001	20	20	100	6	1	0	0	0	6	0	1	0	0
9999	2	8	105	4	15	6595778	6553655	199041	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	106	4	17	6595778	6553655	113233	6	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	107	4	19	6595778	6553655	1020210	9	9	100	1	0	0	0	0	1	0	0	0	0
9999	2	8	108	4	21	6595778	6553655	342378	11	10	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	109	4	23	6595778	6553655	42176	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	110	4	25	6595778	6553655	218897	10	11	98.692	0	0	0	0	0	0	0	0	0	0
9999	2	8	111	4	27	6595778	6553655	169974	6	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	112	4	777	6595778	6553655	0	22	22	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	113	5	1	2889450	2726237	19158	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	114	5	3	2889450	2726237	22116	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	115	5	5	2889450	2726237	42711	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	116	5	7	2889450	2726237	217183	16	16	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	117	5	9	2889450	2726237	37357	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	118	5	11	2889450	2726237	11130	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	119	5	13	2889450	2726237	5426	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	120	5	15	2889450	2726237	27918	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	121	5	17	2889450	2726237	11828	4	4	82.1215	0	0	0	0	0	0	0	0	0	0
9999	2	8	122	5	19	2889450	2726237	24025	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	123	5	21	2889450	2726237	15729	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	124	5	23	2889450	2726237	25645	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	125	5	25	2889450	2726237	8713	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	126	5	27	2889450	2726237	24088	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	127	5	29	2889450	2726237	20886	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	128	5	31	2889450	2726237	92814	8	7	99.7113	0	0	0	0	0	0	0	0	0	0
9999	2	8	129	5	33	2889450	2726237	29913	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	130	5	35	2889450	2726237	52941	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	131	5	37	2889450	2726237	18810	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	132	5	39	2889450	2726237	8071	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	133	5	41	2889450	2726237	8958	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	134	5	43	2889450	2726237	18741	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	135	5	45	2889450	2726237	109800	7	8	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	136	5	47	2889450	2726237	18306	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	137	5	49	2889450	2726237	10630	3	4	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	138	5	51	2889450	2726237	98925	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	139	5	53	2889450	2726237	17899	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	140	5	55	2889450	2726237	41216	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	141	5	57	2889450	2726237	22918	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	142	5	59	2889450	2726237	8949	3	1	33.3333	0	0	0	0	0	0	0	0	0	0
9999	2	8	143	5	61	2889450	2726237	14187	4	4	97.0137	0	0	0	0	0	0	0	0	0	0
9999	2	8	144	5	63	2889450	2726237	34820	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	145	5	65	2889450	2726237	13012	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	146	5	67	2889450	2726237	16077	5	4	92.438	0	0	0	0	0	0	0	0	0	0
9999	2	8	147	5	69	2889450	2726237	76956	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	148	5	71	2889450	2726237	25190	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	149	5	73	2889450	2726237	7649	3	3	90.0172	0	0	0	0	0	0	0	0	0	0
9999	2	8	150	5	75	2889450	2726237	16839	4	4	97.8176	0	0	0	0	0	0	0	0	0	0
9999	2	8	151	5	77	2889450	2726237	10646	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	152	5	79	2889450	2726237	12442	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	153	5	81	2889450	2726237	12771	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	154	5	83	2889450	2726237	22663	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	155	5	85	2889450	2726237	63983	7	6	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	156	5	87	2889450	2726237	13428	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	157	5	89	2889450	2726237	16911	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	158	5	91	2889450	2726237	30348	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	159	5	93	2889450	2726237	46467	8	8	99.2817	0	0	0	0	0	0	0	0	0	0
9999	2	8	160	5	95	2889450	2726237	8384	3	3	88.7415	0	0	0	0	0	0	0	0	0	0
9999	2	8	161	5	97	2889450	2726237	9059	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	162	5	99	2889450	2726237	9112	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	163	5	101	2889450	2726237	8293	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	2	8	164	5	103	2889450	2726237	25566	3	3	100	0	0	0	0	0	0	0	0	0	0
