STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SINDEX	SMODINDX	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	51	1	101	4822023	4778200	232964	13	7	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	52	1	103	4822023	4778200	120435	8	8	93.4811	0	0	0	0	0	0	0	0	0	0
9999	1	8	53	1	105	4822023	4778200	0	3	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	54	1	107	4822023	4778200	18830	7	6	99.2384	0	0	0	0	0	0	0	0	0	0
9999	1	8	55	1	109	4822023	4778200	33047	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	56	1	111	4822023	4778200	22127	5	3	99.6908	0	0	0	0	0	0	0	0	0	0
9999	1	8	57	1	113	4822023	4778200	54219	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	58	1	115	4822023	4778200	84737	11	13	84.307	0	0	0	0	0	0	0	0	0	0
9999	1	8	59	1	117	4822023	4778200	198032	10	13	94.7112	0	0	0	0	0	0	0	0	0	0
9999	1	8	60	1	119	4822023	4778200	13342	6	5	93.1869	0	0	0	0	0	0	0	0	0	0
9999	1	8	61	1	121	4822023	4778200	81992	6	7	98.9552	0	0	0	0	0	0	0	0	0	0
9999	1	8	62	1	123	4822023	4778200	40745	7	6	99.5233	0	0	0	0	0	0	0	0	0	0
9999	1	8	63	1	125	4822023	4778200	198003	7	9	99.5362	0	0	0	0	0	0	0	0	0	0
9999	1	8	64	1	127	4822023	4778200	66929	10	10	99.104	0	0	0	0	0	0	0	0	0	0
9999	1	8	65	1	129	4822023	4778200	17414	4	4	98.8515	0	0	0	0	0	0	0	0	0	0
9999	1	8	66	1	131	4822023	4778200	11528	3	3	82.6683	0	0	0	0	0	0	0	0	0	0
9999	1	8	67	1	133	4822023	4778200	24425	6	6	97.1839	0	0	0	0	0	0	0	0	0	0
9999	1	8	68	1	777	4822023	4778200	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	69	2	13	731449	726997	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	70	2	16	731449	726997	4385	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	71	2	20	731449	726997	299143	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	72	2	50	731449	726997	6294	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	73	2	60	731449	726997	1042	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	74	2	70	731449	726997	2419	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	75	2	90	731449	726997	34603	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	76	2	100	731449	726997	2585	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	77	2	110	731449	726997	32553	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	78	2	122	731449	726997	19492	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	79	2	130	731449	726997	8217	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	80	2	150	731449	726997	6332	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	81	2	164	731449	726997	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	82	2	170	731449	726997	14386	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	83	2	180	731449	726997	3776	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	84	2	185	731449	726997	9618	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	85	2	188	731449	726997	3334	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	86	2	201	731449	726997	1254	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	87	2	220	731449	726997	9060	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	88	2	232	731449	726997	946	2	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	89	2	240	731449	726997	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	90	2	261	731449	726997	6378	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	91	2	270	731449	726997	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	92	2	280	731449	726997	5414	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	93	2	282	731449	726997	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	94	2	290	731449	726997	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	95	2	777	731449	726997	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	96	2	999	731449	726997	255766	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	97	4	1	6553255	6517539	69630	4	3	100	0	1	0	0	0	0	0	1	0	0
9999	1	8	98	4	3	6553255	6517539	133333	8	7	99.7631	1	2	0	0	0	1	0	2	0	0
9999	1	8	99	4	5	6553255	6517539	135979	6	7	99.4376	1	2	0	0	0	1	0	2	0	0
9999	1	8	100	4	7	6553255	6517539	45150	5	3	100	0	1	0	0	0	0	0	1	0	0
9999	1	8	101	4	9	6553255	6517539	27918	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	102	4	11	6553255	6517539	8700	2	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	103	4	12	6553255	6517539	16937	3	2	100	0	0	0	0	0	0	0	0	0	0
