STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	3	1	1	1	56219	3	1	98.4525	218	63	2	61	0	0	1	1	3	58	0	0	19	0	2	0	3	1	0	0	1	18	0	0	0	0	0	18	1	16	1	0	0	0	0	0	0	2	46	0	4	0	20	0	33	4
9999	2	3	2	1	3	182265	13	0	100	591	181	9	172	0	2	1	6	12	158	1	1	60	0	0	0	10	20	4	0	0	42	5	1	2	2	0	37	9	28	0	0	0	0	0	0	4	10	112	4	39	0	100	0	0	5
9999	2	3	3	1	5	27457	6	0	98.9839	23	8	0	8	0	0	0	0	0	8	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0
9999	2	3	4	1	7	22866	5	1	100	10	6	2	4	1	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
9999	2	3	5	1	9	57322	6	0	99.2813	31	9	1	8	0	0	0	1	1	7	0	0	5	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	9	0	0	1
9999	2	3	6	1	11	10914	2	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	3	7	1	13	20955	4	1	100	34	16	0	16	0	0	0	0	6	10	0	0	5	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0
9999	2	3	8	1	15	122530	8	1	100	338	126	12	114	1	1	0	10	9	102	3	0	68	0	2	0	2	2	2	0	0	13	0	0	0	0	0	13	0	7	5	1	0	0	0	0	0	4	17	2	33	0	65	0	0	2
9999	2	3	9	1	17	34215	4	0	55.5166	50	10	3	6	0	0	0	3	0	6	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	0	2
9999	2	3	10	1	19	25968	4	1	100	21	3	0	3	0	0	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0	10	0	0	0
9999	2	3	11	1	21	43547	5	1	100	33	9	1	8	0	0	0	1	4	4	0	0	3	0	0	0	2	4	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	2	1	1	0	6	0	0	1
9999	2	3	12	1	23	13859	4	0	16.9276	6	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
9999	2	3	13	1	25	25833	5	0	100	18	11	4	7	0	3	1	0	5	2	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
