STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013,Crime_rate
Virginia,Dinwiddie,284.9752268000001,55.56751274,1.67637609,1.5496981,76.95136128,"13,541","12,544",997,7.4,3193.385131
Virginia,Essex,272.1517198,53.95659954,1.6715139890000001,1.0878136040000002,76.72624334,"5,685","5,307",378,6.6,4325.857637
Virginia,Fairfax,159.638327,28.13644707,0.8970917279999999,0.540836,83.61271529,"624,266","596,686","27,580",4.4,3035.463649
Virginia,Fauquier,222.38800580000003,50.07127765,0.8085192640000001,1.33518796,79.33257635,"35,911","34,139","1,772",4.9,2538.4191149999997
Virginia,Floyd,248.46852280000002,49.95750067,0.6705897470000001,1.830009975,78.71394425,"8,387","7,933",454,5.4,1987.312273
Virginia,Fluvanna,210.00584469999998,35.36327316,0.771133805,0.790913188,80.64720733,"13,031","12,409",622,4.8,1743.562232
Virginia,Franklin,254.32543379999998,48.36581868,0.710350277,1.3807036119999998,78.69500083,"27,210","25,604","1,606",5.9,2883.0865989999998
Virginia,Frederick,203.0015956,57.80487211,0.7870361929999999,0.815673113,79.48021036,"44,138","41,800","2,338",5.3,3743.018826
Virginia,Giles,313.47731760000005,72.81393543,0.8961135840000001,2.2069690140000002,76.0787045,"8,217","7,643",574,7.0,3240.740741
Virginia,Gloucester,253.0336969,57.70681812,1.236775985,1.187748347,77.97843719,"19,318","18,312","1,006",5.2,3890.797911
Virginia,Goochland,217.5308488,41.64904849,1.1056593959999998,0.8949563490000001,80.09055393,"10,371","9,837",534,5.1,1661.098301
Virginia,Grayson,269.5350373,72.30278792,0.73722401,2.305240695,76.9633235,"7,011","6,334",677,9.7,2453.541432
Virginia,Greene,208.37552040000003,48.86420763,0.711360817,0.917788672,79.11246315,"9,685","9,218",467,4.8,3065.377094
Virginia,Greensville,385.6098496,61.17582875,4.093190048,1.9513188369999999,74.49607639,"4,355","4,018",337,7.7,1829.1645399999998
Virginia,Halifax,298.693534,66.61635196,2.464698523,1.753023616,75.73863282,"15,859","14,409","1,450",9.1,3070.2227980000002
Virginia,Hanover,234.74143790000002,49.39349941,0.722797877,0.949099988,79.79519321,"55,404","52,602","2,802",5.1,2736.475799
Virginia,Henrico,230.19371569999996,52.69508589,1.801440009,1.122913454,79.46643267,"174,077","164,368","9,709",5.6,5297.16615
Virginia,Henry,316.35549110000005,59.39979478,1.2079423679999999,1.874755692,75.75677093,"23,405","21,274","2,131",9.1,6121.248909
Virginia,Highland,227.9143775,48.39842285,0.440567369,1.2860576479999999,79.7496051,"1,419","1,358",61,4.3,716.2041182
Virginia,James City,184.75824340000003,33.47916814,1.466923709,1.0679226290000001,81.60159719,"33,696","31,896","1,800",5.3,2801.056136
Virginia,King and Queen,265.3176393,48.23467373,1.303201425,1.365582984,77.67760271,"3,638","3,416",222,6.1,2355.098012
Virginia,King George,223.99721069999998,50.68009763,1.15836884,1.1702551840000002,78.73921857,"11,975","11,281",694,5.8,3331.991952
Virginia,King William,279.9603979,55.70759299,1.0524203540000001,1.579318131,77.61622549,"8,699","8,208",491,5.6,1710.468818
Virginia,Lancaster,256.3213861,46.75667107,2.1185485180000003,0.911153144,78.18498159,"5,401","4,995",406,7.5,962.8242846
Virginia,Lee,348.2039502,82.03855875,0.8735379870000001,1.896869249,74.69885459,"9,305","8,488",817,8.8,4768.99565
Virginia,Loudoun,170.11008030000005,31.65479284,0.779177543,0.569097391,83.05449733,"191,048","182,680","8,368",4.4,2269.948958
Virginia,Louisa,248.70545980000003,53.82796121,1.38392714,0.932842946,78.28715291,"18,051","17,027","1,024",5.7,3724.1173840000006
Virginia,Lunenburg,313.3199140000001,49.98517854,2.616604779,1.5836994930000001,77.03314958,"5,326","4,950",376,7.1,1997.922161
Virginia,Madison,231.4028816,39.14210906,0.866896852,1.216943275,78.99258044,"7,224","6,902",322,4.5,1976.973186
Virginia,Mathews,263.9009338,38.82105663,1.253092554,1.002904002,79.12583754,"4,163","3,952",211,5.1,2365.131208
Virginia,Mecklenburg,331.055944,52.28671629,2.565660435,1.455573274,76.14004166,"12,780","11,588","1,192",9.3,3835.4165340000004
Virginia,Middlesex,242.0068338,47.68215293,1.151645095,1.046670319,77.97618853,"5,113","4,830",283,5.5,2193.428968
Virginia,Montgomery,257.59647590000003,56.58779614,0.589724814,2.081064959,79.22366005,"49,663","46,856","2,807",5.7,3714.6651890000003
Virginia,Nelson,263.09920209999996,54.05898663,0.7921309240000001,1.170236345,78.01272270000003,"7,358","6,952",406,5.5,2971.567502
Virginia,New Kent,246.7023232,51.00800752,0.904133117,1.061463182,78.83037333,"10,783","10,239",544,5.0,2414.9116940000004
Virginia,Northampton,270.5121299,51.98734496,2.453240712,1.748002232,75.92081086,"6,035","5,485",550,9.1,3489.5150719999997
Virginia,Northumberland,230.44742090000003,44.586256899999995,1.818274304,0.969914088,79.43894368,"5,690","5,269",421,7.4,2164.956782
Virginia,Nottoway,344.99012610000005,65.51916809,2.821321231,1.482925857,75.61365924,"7,072","6,645",427,6.0,4018.6739009999997
Virginia,Orange,223.42934259999998,46.98312904,1.0407731679999999,0.935432266,78.94273242,"16,114","15,161",953,5.9,2546.222621
Virginia,Page,301.0884832,50.59757311,0.735189593,1.702229152,77.75368889,"11,944","10,841","1,103",9.2,3877.8498219999997
Virginia,Patrick,308.7706079,50.01994682,0.9128428829999999,1.881013592,76.93441390000002,"7,802","7,154",648,8.3,3527.1842030000003
Virginia,Pittsylvania,314.5620313,63.87176510000001,2.372807947,2.500830657,75.89902667,"30,444","28,299","2,145",7.0,2039.253231
