STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	2	25	1	49	69275	13	1	85.327	2941	280	41	239	4	5	7	24	43	190	5	1	365	24	38	0	13	16	8	1	12	221	41	0	3	1	36	180	6	74	9	92	0	0	0	0	13	209	228	143	21	0	1350	0	0	0
9999	2	2	26	1	51	79932	6	1	94.6048	5076	579	131	449	13	21	14	83	125	316	6	2	546	43	197	2	29	42	17	1	13	259	53	12	37	2	2	206	114	70	7	15	0	0	0	0	51	523	80	177	31	0	2486	0	0	0
9999	2	2	27	1	53	37555	5	0	85.1147	2229	179	78	101	0	2	8	67	11	84	6	0	211	9	93	1	14	29	19	0	0	176	8	5	1	1	1	168	26	101	34	6	0	0	0	0	6	252	26	112	76	1	1025	0	0	0
9999	2	2	28	1	55	103171	8	1	100	5398	646	83	563	7	11	14	51	36	500	25	2	737	28	269	9	21	55	26	0	11	259	41	33	1	0	7	218	30	175	4	9	0	0	0	0	55	529	51	391	109	4	2198	0	0	0
9999	2	2	29	1	57	16862	3	1	100	360	53	10	43	0	0	0	10	9	31	2	1	80	4	12	0	1	12	1	0	1	10	5	0	0	0	5	5	0	1	0	4	0	0	0	0	7	21	18	14	8	0	118	0	0	0
9999	2	2	30	1	59	30893	4	0	92.7872	1139	205	46	159	6	6	6	27	25	129	3	2	118	19	26	1	19	7	1	0	5	62	33	2	1	4	25	29	10	2	5	12	0	0	0	0	9	70	91	86	11	0	408	0	0	0
9999	2	2	31	1	61	25996	5	1	100	931	95	42	53	1	3	8	30	5	37	6	5	134	11	70	0	16	15	7	0	7	47	19	8	7	1	3	28	3	10	1	14	0	0	0	0	7	41	25	7	21	0	428	0	0	0
9999	2	2	32	1	63	9131	3	0	75.5512	323	67	26	41	1	0	0	24	10	26	4	1	60	7	22	0	4	7	8	0	1	23	3	2	0	0	0	20	0	16	1	3	0	0	0	0	1	21	4	2	17	0	77	0	0	0
9999	2	2	33	1	65	18655	3	1	97.7254	422	86	30	55	0	0	10	20	11	43	0	1	74	4	27	1	11	11	7	0	3	21	8	6	0	0	1	13	4	9	0	0	0	0	0	0	15	40	6	13	13	0	89	0	0	0
9999	2	2	34	1	67	16679	4	1	100	548	80	42	38	3	3	3	33	10	22	6	0	66	16	59	4	9	11	4	0	11	46	14	2	7	0	5	32	15	11	4	2	0	0	0	0	4	36	12	10	1	0	179	0	0	0
9999	2	2	35	1	69	101097	8	1	73.3632	5194	688	147	540	7	16	64	61	74	453	13	1	515	55	137	3	40	25	30	0	12	293	23	5	7	0	11	271	164	73	19	14	0	0	0	0	21	374	66	276	109	1	2548	0	0	0
9999	2	2	36	1	71	53271	9	0	97.1692	2537	282	77	205	1	9	4	63	28	169	8	0	338	20	329	4	17	47	6	0	3	136	20	5	1	3	10	117	15	40	39	22	0	0	0	0	8	89	57	190	21	0	989	0	0	0
9999	2	2	37	1	73	685559	26	1	89.0247	28576	5430	995	4434	62	29	312	592	679	3564	184	8	3835	190	765	22	267	366	420	204	24	4334	140	29	30	18	63	4194	1355	2339	373	127	13	0	5	6	19	1573	453	1439	386	24	8813	0	0	0
9999	2	2	38	1	75	14189	4	0	79.8013	256	34	7	28	0	0	1	5	6	21	1	0	36	3	6	4	2	4	1	0	0	11	2	0	0	0	1	10	2	7	1	1	0	0	0	0	0	33	13	15	7	0	86	0	0	0
9999	2	2	39	1	77	89652	7	0	100	3136	503	102	401	8	9	26	59	65	330	6	0	315	19	35	0	23	18	13	0	14	167	6	1	5	0	0	161	1	160	0	0	0	0	0	0	9	256	201	313	55	14	1181	0	0	0
9999	2	2	40	1	79	34242	6	0	90.4591	1623	163	53	110	2	3	3	45	12	90	4	4	204	13	170	1	11	23	2	0	6	48	25	10	0	0	14	23	2	15	2	4	0	0	0	0	40	96	73	47	23	0	702	0	0	0
9999	2	2	41	1	81	133019	3	1	100	5839	794	113	681	7	6	21	79	90	570	17	4	692	57	172	1	30	83	57	0	12	320	22	4	3	2	13	298	15	263	8	12	0	0	0	0	7	648	290	338	93	2	2243	0	0	0
9999	2	2	42	1	83	75408	3	1	100	4642	502	80	422	5	5	10	60	87	314	18	3	266	66	354	1	28	29	9	5	16	192	10	0	1	1	8	182	13	72	4	93	0	0	0	0	62	538	26	176	41	2	2329	0	0	0
9999	2	2	43	1	85	12610	4	0	91.8081	801	130	62	68	2	0	11	49	25	37	5	1	209	4	31	0	26	15	12	0	3	65	2	0	0	1	0	63	34	23	2	4	0	0	0	0	3	74	6	22	37	0	162	0	0	0
9999	2	2	44	1	87	22227	4	1	100	490	61	28	33	3	0	2	23	4	24	5	0	99	2	6	0	3	12	15	0	1	12	7	0	7	0	0	5	2	2	0	1	0	0	0	0	0	42	0	1	5	0	231	0	0	0
