STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SVIOL	SPROPERTY	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	1	1	1	4833722	4710967	54912	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	2	1	3	4833722	4710967	193322	14	14	99.8625	0	0	0	0	0	0	0	0	0	0
9999	1	8	3	1	5	4833722	4710967	26868	6	5	94.1392	0	0	0	0	0	0	0	0	0	0
9999	1	8	4	1	7	4833722	4710967	22503	5	6	96.7338	0	0	0	0	0	0	0	0	0	0
9999	1	8	5	1	9	4833722	4710967	57968	6	6	98.6989	0	0	0	0	0	0	0	0	0	0
9999	1	8	6	1	11	4833722	4710967	10340	2	2	64.3553	0	0	0	0	0	0	0	0	0	0
9999	1	8	7	1	13	4833722	4710967	20099	4	4	91.8503	0	0	0	0	0	0	0	0	0	0
9999	1	8	8	1	15	4833722	4710967	116893	8	10	99.5013	0	0	0	0	0	0	0	0	0	0
9999	1	8	9	1	17	4833722	4710967	34035	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	10	1	19	4833722	4710967	26027	4	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	11	1	21	4833722	4710967	43848	5	6	99.9021	0	0	0	0	0	0	0	0	0	0
9999	1	8	12	1	23	4833722	4710967	12902	4	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	13	1	25	4833722	4710967	24618	5	4	90.554	0	0	0	0	0	0	0	0	0	0
9999	1	8	14	1	27	4833722	4710967	13287	3	3	92.8746	0	0	0	0	0	0	0	0	0	0
9999	1	8	15	1	29	4833722	4710967	14785	3	3	97.8278	0	0	0	0	0	0	0	0	0	0
9999	1	8	16	1	31	4833722	4710967	51618	5	5	99.912	0	0	0	0	0	0	0	0	0	0
9999	1	8	17	1	33	4833722	4710967	54418	8	7	98.9011	0	0	0	0	0	0	0	0	0	0
9999	1	8	18	1	35	4833722	4710967	12908	4	5	95.3646	0	0	0	0	0	0	0	0	0	0
9999	1	8	19	1	37	4833722	4710967	8954	3	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	20	1	39	4833722	4710967	37476	9	8	96.6221	0	0	0	0	0	0	0	0	0	0
9999	1	8	21	1	41	4833722	4710967	13626	5	3	95.4866	0	0	0	0	0	0	0	0	0	0
9999	1	8	22	1	43	4833722	4710967	80409	3	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	23	1	45	4833722	4710967	49708	10	11	98.7626	0	0	0	0	0	0	0	0	0	0
9999	1	8	24	1	47	4833722	4710967	42552	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	25	1	49	4833722	4710967	71053	14	14	86.5718	0	0	0	0	0	0	0	0	0	0
9999	1	8	26	1	51	4833722	4710967	80973	7	7	99.4924	0	0	0	0	0	0	0	0	0	0
9999	1	8	27	1	53	4833722	4710967	37887	5	5	91.8191	0	0	0	0	0	0	0	0	0	0
9999	1	8	28	1	55	4833722	4710967	97233	10	8	99.6416	0	0	0	0	0	0	0	0	0	0
9999	1	8	29	1	57	4833722	4710967	16901	3	4	95.0121	0	0	0	0	0	0	0	0	0	0
9999	1	8	30	1	59	4833722	4710967	31766	5	5	96.8703	0	0	0	0	0	0	0	0	0	0
9999	1	8	31	1	61	4833722	4710967	26964	5	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	32	1	63	4833722	4710967	8204	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	33	1	65	4833722	4710967	12862	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	34	1	67	4833722	4710967	16756	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	35	1	69	4833722	4710967	103920	9	9	97.6859	0	0	0	0	0	0	0	0	0	0
9999	1	8	36	1	71	4833722	4710967	51451	9	7	93.8024	0	0	0	0	0	0	0	0	0	0
9999	1	8	37	1	73	4833722	4710967	638502	32	30	98.3244	0	0	0	0	0	0	0	0	0	0
9999	1	8	38	1	75	4833722	4710967	14174	4	4	53.4223	0	0	0	0	0	0	0	0	0	0
9999	1	8	39	1	77	4833722	4710967	92462	8	8	72.7235	0	0	0	0	0	0	0	0	0	0
9999	1	8	40	1	79	4833722	4710967	33054	7	5	97.7814	0	0	0	0	0	0	0	0	0	0
9999	1	8	41	1	81	4833722	4710967	91016	3	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	42	1	83	4833722	4710967	89170	3	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	43	1	85	4833722	4710967	8920	6	3	87.6756	0	0	0	0	0	0	0	0	0	0
9999	1	8	44	1	87	4833722	4710967	19750	5	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	45	1	89	4833722	4710967	345330	11	10	99.9759	0	0	0	0	0	0	0	0	0	0
9999	1	8	46	1	91	4833722	4710967	19846	7	5	98.6563	0	0	0	0	0	0	0	0	0	0
9999	1	8	47	1	93	4833722	4710967	30167	8	9	99.8409	0	0	0	0	0	0	0	0	0	0
9999	1	8	48	1	95	4833722	4710967	86692	8	7	79.9574	0	0	0	0	0	0	0	0	0	0
9999	1	8	49	1	97	4833722	4710967	414070	13	13	99.5206	0	0	0	0	0	0	0	0	0	0
9999	1	8	50	1	99	4833722	4710967	22178	5	4	94.5983	0	0	0	0	0	0	0	0	0	0
9999	1	8	51	1	101	4833722	4710967	230228	13	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	52	1	103	4833722	4710967	120635	8	8	87.3907	0	0	0	0	0	0	0	0	0	0
9999	1	8	53	1	105	4833722	4710967	3544	3	1	0	0	0	0	0	0	0	0	0	0	0
9999	1	8	54	1	107	4833722	4710967	18713	7	6	86.2092	0	0	0	0	0	0	0	0	0	0
9999	1	8	55	1	109	4833722	4710967	33246	4	4	98.9608	0	0	0	0	0	0	0	0	0	0
9999	1	8	56	1	111	4833722	4710967	22598	6	4	92.3068	0	0	0	0	0	0	0	0	0	0
9999	1	8	57	1	113	4833722	4710967	58835	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	58	1	115	4833722	4710967	85189	11	12	59.4561	0	0	0	0	0	0	0	0	0	0
9999	1	8	59	1	117	4833722	4710967	200233	10	12	67.7196	0	0	0	0	0	0	0	0	0	0
9999	1	8	60	1	119	4833722	4710967	12806	6	4	100	0	0	0	0	0	0	0	0	0	0
