STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	3	1	1	1	52947	3	1	92.4317	142	52	3	49	0	0	0	3	2	45	2	0	13	0	1	0	0	4	1	0	0	12	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	10	0	7	0	33	0	0	7
9999	2	3	2	1	3	179363	13	0	51.2602	544	163	5	158	0	0	3	1	16	137	5	0	74	2	2	0	1	13	2	0	1	38	3	0	3	0	0	35	6	28	1	0	0	0	0	0	2	2	100	10	64	0	67	0	0	1
9999	2	3	3	1	5	29470	6	0	100	60	17	2	15	0	0	2	0	9	5	1	0	5	0	0	0	1	0	2	0	0	3	0	0	0	0	0	3	3	0	0	0	1	0	0	1	0	0	10	1	5	0	15	0	0	0
9999	2	3	4	1	7	21793	5	1	100	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
9999	2	3	5	1	9	58440	6	0	91.4786	31	12	0	11	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	2	1	0	4	0	0	1
9999	2	3	6	1	11	10758	2	0	100	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	3	7	1	13	20049	4	1	100	63	21	1	20	0	0	0	1	3	17	0	0	11	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	6	0	8	0	0	0
9999	2	3	8	1	15	116752	8	1	100	322	124	18	106	0	1	6	11	14	90	2	0	52	3	1	0	2	1	3	0	0	18	1	1	0	0	0	17	4	9	4	0	0	0	0	0	0	9	16	0	17	0	67	0	0	9
9999	2	3	9	1	17	34345	4	0	87.7872	54	14	6	7	0	0	0	6	4	3	0	0	6	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	14	0	0	0
9999	2	3	10	1	19	24702	4	1	98.8118	9	4	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
9999	2	3	11	1	21	42616	5	1	100	35	17	9	8	0	0	0	9	3	5	0	0	3	0	1	0	0	1	0	0	0	3	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	4	0	1	0	4	0	0	1
